ring,vertex,east_km,north_km
0,492,-3.61447986284999,10.015127728513258
0,493,-3.4766424086269017,10.092191603450402
0,494,-3.487627451469486,10.222902874189185
0,495,-3.3336867136480626,10.562014597825343
0,496,-3.3031511061596004,10.749505336762365
0,497,-3.244896079085779,10.769162008949708
0,498,-3.2414455649339557,10.825315321786341
0,499,-2.701558060487173,10.946374571950525
0,500,-2.512356386290901,10.93077814703429
0,501,-2.4114239700580975,11.025926790019634
0,502,-2.1247411718755296,11.049320258091306
0,503,-1.9990111226430185,11.238366769961436
0,504,-1.9217164296382199,11.258329904105848
0,505,-1.8184739960249525,11.39091048051711
0,506,-1.6829182095140216,11.430523639482344
0,507,-1.1747094728922616,11.345323021462647
0,508,-1.0783768775039353,11.365592248097917
0,509,-1.0166570949415072,11.441393942990278
0,510,-0.773801028665947,11.370552822122088
0,511,-0.5822872955880548,11.392367821958949
0,512,-0.46114893456580536,11.506531686419708
0,513,-0.3925028349836574,11.69463775160362
0,514,-0.29501274699759417,11.733619935952891
0,515,-0.2857817202512984,11.883362159334492
0,516,-0.10868068000460823,11.979733460238128
0,517,-0.034257286417756945,12.261427120809415
0,518,0.026317206217574055,12.31850726508116
0,519,0.3511063612987092,12.34247295100607
0,520,0.7266784996848338,12.572943292608105
0,521,0.8218670272073735,12.574483177140545
0,522,0.9239879963259457,12.688329095882656
0,523,1.0762910110080424,12.690790692049303
0,524,1.118989361654416,12.766276940531801
0,525,1.2510995166848882,12.749711459145544
0,526,1.2949547992329464,12.843915045798992
0,527,1.3924573276272465,12.882886976672504
0,528,1.495200323257462,13.314624344551756
0,529,1.654448073308359,13.429387148231365
0,530,1.7814025862437408,13.6371236987109
0,531,2.0335391031079864,13.715980923759792
0,532,2.2378166291688135,13.943657577782746
1,0,9.592455486218405,2.24192364851386
1,1,9.591289160866296,2.2232056820849957
1,2,9.610314627274755,2.223501605463936
1,3,9.592455486218405,2.24192364851386
2,0,9.161491341394763,2.646609437775223
2,1,9.180517301085391,2.6469059396412473
2,2,9.181683111071072,2.6656238987800216
2,3,9.161491341394763,2.646609437775223
