方案,阶段,种子,轮次,目标,状态,候选数,当前值（整数单位）,求解器界限（整数单位）,本层条件最优,整个前缀已证最优,用时s
及时性优先,局部组批重排,0,61,能耗,可行，未证最优,98,89543715677,88844254463.0,否,否,6.6182588
及时性优先,局部组批重排,0,61,架次,当前模型已证最优,98,33,33.0,是,否,0.0909682
及时性优先,局部组批重排,1,62,加权逾期,可行，未证最优,340,79971132,0.0,否,否,4.9805478
及时性优先,局部组批重排,1,62,最后返航,可行，未证最优,340,9734037,6949661.0,否,否,4.966971
及时性优先,局部组批重排,1,62,能耗,可行，未证最优,340,90684606967,80700890200.0,否,否,4.9399189
及时性优先,局部组批重排,1,62,架次,可行，未证最优,340,34,28.0,否,否,4.8911728000000005
及时性优先,局部组批重排,2,63,加权逾期,可行，未证最优,196,50969770,0.0,否,否,4.9892989000000005
及时性优先,局部组批重排,2,63,最后返航,可行，未证最优,196,9855464,7193836.0,否,否,4.9792345000000005
及时性优先,局部组批重排,2,63,能耗,可行，未证最优,196,96459589782,82607073169.0,否,否,4.967705400000001
及时性优先,局部组批重排,2,63,架次,可行，未证最优,196,35,30.0,否,否,4.9432442000000005
及时性优先,局部组批重排,0,64,加权逾期,当前模型已证最优,110,0,0.0,是,是,0.12574570000000002
及时性优先,局部组批重排,0,64,最后返航,可行，未证最优,110,9000577,7690360.0,否,否,6.6163338000000005
及时性优先,局部组批重排,0,64,能耗,可行，未证最优,110,87774210212,87454827721.0,否,否,6.6082391000000005
及时性优先,局部组批重排,0,64,架次,当前模型已证最优,110,32,32.0,是,否,0.1884376
及时性优先,局部组批重排,1,65,加权逾期,可行，未证最优,279,19966030,0.0,否,否,4.9847488
及时性优先,局部组批重排,1,65,最后返航,可行，未证最优,279,9549909,7398909.0,否,否,4.9750315
及时性优先,局部组批重排,1,65,能耗,可行，未证最优,279,100943720633,86314254560.0,否,否,4.9579288
及时性优先,局部组批重排,1,65,架次,可行，未证最优,279,38,31.0,否,否,4.923491
